width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1150,1150,1151,gantry_rope,538.4370000315299,15.70588626977376,593.4076019757381,
L,1151,1151,1152,gantry_rope,538.3348201418661,15.702834524391859,593.2947409772376,
L,1152,1152,1153,gantry_rope,538.2442697936434,15.700078029850355,593.1945428981196,
L,1153,1153,1154,gantry_rope,537.9380431491523,15.688316410797423,592.8471505869434,
L,1154,1154,1155,gantry_rope,537.8506944634212,15.685731472863475,592.7507546184434,
L,1155,1155,1156,gantry_rope,537.768268253149,15.683178775159547,592.6593939662074,
L,1156,1156,1157,gantry_rope,537.6874401381956,15.680660571970444,592.5697521400922,
L,1157,1157,1158,gantry_rope,537.6115534580332,15.678179231274989,592.4851807674956,
L,1158,1158,1159,gantry_rope,537.3555954680043,15.670022435111704,592.2006739908952,
L,1159,1159,1160,gantry_rope,537.3008332179862,15.668346040959753,592.1400443613454,
L,1160,1160,1161,gantry_rope,537.2427062155436,15.666534613384501,592.0755773623894,
L,1161,1161,1162,gantry_rope,537.1878466785223,15.664767137395248,592.0145316594056,
L,1162,1162,1163,gantry_rope,537.141240414943,15.663196285949523,591.9624274157663,
L,1163,1163,1164,gantry_rope,536.9977227829005,15.657380075915851,591.798553048606,
L,1164,1164,1165,gantry_rope,536.9627397145165,15.656276173282341,591.7597063210047,
L,1165,1165,1166,gantry_rope,536.9260033054696,15.65510530407341,591.7188718697266,
L,1166,1166,1167,gantry_rope,536.8941752677628,15.653985649734459,591.6831250418334,
L,1167,1167,1168,gantry_rope,536.8672792640784,15.653009739394607,591.6528133519596,
L,1168,1168,1169,gantry_rope,536.7936852152561,15.649910323062342,591.5683713459744,
L,1169,1169,1170,gantry_rope,536.7800676990363,15.649439485089076,591.553105896848,
L,1170,1170,1171,gantry_rope,536.766357295411,15.648982162429323,591.5377948639136,
L,1171,1171,1172,gantry_rope,536.7575787769481,15.648576417615724,591.5275962386031,
