mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
22,0.1909612081647425,1,372853.0,80,14098,1.025225481745431e-15,8.048504382815706e-16,-8.952218072414949e-17,-7.16922362132049e-15,9.15037960013501e-16,-3.62937290102232e-15,1.6464421954875213e-19,7.079701440596341e-15
22,0.1909612081647425,2,1272409.0,28469,51317,0.0005437223483112917,0.000529395483073985,-0.01384072988606921,0.01111089586325527,0.0005365589156926384,-0.0013649170114069702,-5.802703662633601e-07,-0.024951625749324483
22,0.1909612081647425,3,1847909.0,28660,51508,0.000642897420930281,0.0006881754193670568,0.03819877140927883,-0.02970644434860696,0.0006655364201486689,0.004246163530335936,1.579191064136879e-06,0.0679052157578858
22,0.1909612081647425,4,2423409.0,374,14392,0.0005139789327522276,0.0004970310174601342,-0.01664886804650662,0.01337855795604811,0.0005055049751061808,-0.0016351550452292545,-6.983122326175519e-07,-0.03002742600255473
22,0.1909612081647425,5,3361547.0,29176,52024,1.974589759756651e-16,1.857515865275663e-16,2.774450501848019e-15,2.226192497989096e-15,1.9160528125161572e-16,2.5003214999185573e-15,1.275018613625402e-20,5.482580038589229e-16
23,0.1975332435292743,1,372853.0,80,14098,-2.820946602608823e-15,-2.33011511939987e-15,-1.750912674563012e-14,5.388758969173885e-16,-2.5755308610043463e-15,-8.485125424356367e-15,-4.1972099168715136e-19,-1.804800264254751e-14
23,0.1975332435292743,2,1272409.0,28469,51317,3.354790031740221e-15,8.746938305886713e-15,9.196978802366038e-15,8.187955767270134e-15,6.050864168813467e-15,8.692467284818086e-15,2.3465651978974503e-20,1.0090230350959036e-15
23,0.1975332435292743,3,1847909.0,28660,51508,1.146678889930713e-15,-1.979382350293869e-16,-3.073874892287009e-15,-2.107661284428434e-14,4.743703274506631e-16,-1.2075243868285675e-14,4.186683244650542e-19,1.800273795199733e-14
23,0.1975332435292743,4,2423409.0,374,14392,-3.147537600653081e-15,1.067294335913505e-15,-1.171372653151808e-14,1.836259889673387e-14,-1.040121632369788e-15,3.3244361826078944e-15,-6.994494285639988e-19,-3.007632542825195e-14
23,0.1975332435292743,5,3361547.0,29176,52024,1.1376602177711e-05,-1.090304253685618e-05,0.02452081363675203,0.0246343383886972,2.367798204274095e-07,0.024577576012724617,-2.640110510352862e-09,-0.00011352475194517306
24,0.2001839267397145,1,372853.0,80,14098,2.330378511922879e-16,8.444274072612413e-17,-1.187356568762048e-14,-9.264748712612182e-15,1.5874029595920601e-16,-1.0569157200116331e-14,-6.067016220949529e-20,-2.6088169750082974e-15
24,0.2001839267397145,2,1272409.0,28469,51317,1.8997755697409e-15,2.162337299750909e-15,-3.960870113069653e-15,-2.587953357773164e-15,2.0310564347459045e-15,-3.2744117354214083e-15,-3.192829663480206e-20,-1.3729167552964887e-15
24,0.2001839267397145,3,1847909.0,28660,51508,-3.37358644447671e-16,-6.998864544834967e-16,4.144090771851976e-15,-4.811786836872479e-15,-5.186225494655839e-16,-3.338480325102513e-16,2.0827622345870828e-19,8.955877608724456e-15
24,0.2001839267397145,4,2423409.0,374,14392,4.247495282981593e-16,-1.622503882757261e-15,-1.533002288814247e-15,6.272458985884791e-15,-5.988771772295509e-16,2.3697283485352717e-15,-1.8152235522555901e-19,-7.805461274699038e-15
24,0.2001839267397145,5,3361547.0,29176,52024,0.002422757569891472,0.002453777930480172,0.02677971526857927,-0.0207890794095163,0.002438267750185822,0.002995317929531484,1.1062510390254784e-06,0.04756879467809557
